Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10277223,Rixensart,APARTMENT,PENTHOUSE,225000.0,BUY_REGULAR,3.0,108.0,0,None,0,None,None,None,None,None,2,1,TO_BE_DONE_UP
10269073,GISTOUX,HOUSE,HOUSE,415000.0,BUY_REGULAR,3.0,135.0,0,None,1,None,None,1,None,1832,,None,
10259830,Braine-l'Alleud,HOUSE,HOUSE,415000.0,BUY_REGULAR,3.0,168.0,0,None,0,None,None,1,189,189,2,0,TO_BE_DONE_UP
10229787,Ophain-Bois-Seigneur-Isaac,HOUSE,HOUSE,285000.0,BUY_REGULAR,3.0,157.0,0,None,0,None,None,None,None,404,None,None,None
10245007,La Hulpe,HOUSE,MIXED_USE_BUILDING,545000.0,BUY_REGULAR,5.0,410.0,1,None,0,1,43,1,860,860,3,0,GOOD
10239614,Tubize,APARTMENT,APARTMENT,266500.0,BUY_REGULAR,2.0,96.0,0,None,0,1,16,None,None,None,4,None,
10234513,NIL-SAINT-VINCENT-SAINT-MARTIN,HOUSE,VILLA,400000.0,BUY_REGULAR,4.0,127.0,0,None,0,1,None,1,None,4276,4,None,TO_BE_DONE_UP
10136461,Tubize,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,3.0,110.0,0,None,0,1,3,None,None,None,2,None,
10216881,Nivelles,HOUSE,HOUSE,795000.0,BUY_REGULAR,0.0,319.0,0,None,0,None,None,None,None,0,4,1,
10207054,Mont-St-Guibert,HOUSE,VILLA,590000.0,BUY_REGULAR,5.0,272.0,0,None,1,1,65,1,None,940,4,1,AS_NEW
10196980,Braine-l'Alleud,APARTMENT,APARTMENT,169000.0,BUY_REGULAR,2.0,60.0,0,None,0,None,None,None,None,None,3,None,TO_RENOVATE
10183411,Rebecq,HOUSE,HOUSE,120000.0,BUY_REGULAR,2.0,126.0,0,None,0,None,None,1,123,195,2,None,TO_RENOVATE
10277222,Rixensart Genval,APARTMENT,PENTHOUSE,225000.0,BUY_REGULAR,3.0,108.0,0,None,0,None,None,None,None,None,2,1,TO_BE_DONE_UP
10268960,Limal,HOUSE,HOUSE,465000.0,BUY_REGULAR,3.0,126.0,0,None,0,None,None,1,847,847,3,0,
10268827,Wavre,HOUSE,HOUSE,370000.0,BUY_REGULAR,3.0,180.0,0,None,1,None,None,1,None,536,4,None,
10252743,Waterloo,HOUSE,HOUSE,375000.0,BUY_REGULAR,3.0,160.0,0,None,0,1,6,1,800,974,4,None,TO_RENOVATE
10252626,BRAINE-LE-CHÂTEAU,HOUSE,VILLA,200000.0,BUY_REGULAR,3.0,,0,None,0,None,None,None,None,0,None,None,None
10239613,Tubize,APARTMENT,APARTMENT,233500.0,BUY_REGULAR,1.0,72.0,0,None,0,1,26,None,None,None,4,None,
10234512,Wavre,HOUSE,HOUSE,500000.0,BUY_REGULAR,4.0,120.0,0,None,0,1,25,1,None,0,3,None,AS_NEW
10225543,Wavre,HOUSE,EXCEPTIONAL_PROPERTY,3500000.0,BUY_REGULAR,10.0,600.0,0,None,0,None,None,None,None,40000,4,1,GOOD
10216806,Nivelles,HOUSE,VILLA,499000.0,BUY_REGULAR,4.0,300.0,0,None,1,1,10,1,534,634,4,0,TO_BE_DONE_UP
10207046,Waterloo,HOUSE,VILLA,375000.0,BUY_REGULAR,3.0,123.0,0,None,0,1,25,1,300,667,4,None,
10196802,Louvain-La-Neuve,HOUSE,HOUSE,525000.0,BUY_REGULAR,4.0,174.0,0,None,1,1,None,1,200,340,2,None,
10183239,Genval,HOUSE,HOUSE,750000.0,BUY_REGULAR,6.0,290.0,0,None,0,None,None,None,None,3590,3,None,JUST_RENOVATED
10277163,Braine-l'Alleud,HOUSE,HOUSE,325000.0,BUY_REGULAR,2.0,186.0,0,None,0,1,20,1,182,264,2,None,TO_RENOVATE
