Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10287701,Glabbeek,HOUSE,HOUSE,209000.0,BUY_REGULAR,3.0,196.0,0,None,0,None,None,1,None,713,3,None,TO_RENOVATE
10282036,Sint-Pieters-Leeuw,HOUSE,TOWN_HOUSE,379000.0,BUY_REGULAR,3.0,215.0,0,None,0,None,None,1,None,0,2,0,
10309452,Leuven,APARTMENT,GROUND_FLOOR,379000.0,BUY_REGULAR,2.0,88.0,0,None,0,1,27,1,64,,,None,AS_NEW
10311779,Scherpenheuvel,APARTMENT,APARTMENT,279000.0,BUY_REGULAR,2.0,,1,None,0,1,22,None,None,None,2,None,
10307229,Geetbets,HOUSE,APARTMENT_BLOCK,675000.0,BUY_REGULAR,6.0,252.0,None,None,0,None,None,None,None,113,2,0,
10301776,Sterrebeek,HOUSE,VILLA,830000.0,BUY_REGULAR,7.0,503.0,0,None,1,1,50,1,200,930,4,None,GOOD
10284803,Leuven,APARTMENT,FLAT_STUDIO,200000.0,BUY_REGULAR,0.0,36.0,None,None,0,1,6,None,None,None,2,None,GOOD
10303893,Sint-Pieters-Leeuw,APARTMENT,GROUND_FLOOR,229000.0,BUY_REGULAR,1.0,65.0,0,None,0,1,8,None,None,None,,0,AS_NEW
10299166,Leuven,APARTMENT,APARTMENT,299000.0,BUY_REGULAR,2.0,96.0,0,None,0,None,None,None,None,,,0,TO_BE_DONE_UP
10257778,Wolvertem,APARTMENT,APARTMENT,250000.0,BUY_REGULAR,2.0,88.0,None,None,0,1,13,None,None,None,2,0,GOOD
10294531,Halle,HOUSE,HOUSE,573835.0,BUY_REGULAR,3.0,162.0,1,None,0,None,None,None,None,467,None,0,None
10294523,Leefdaal,HOUSE,HOUSE,325000.0,BUY_REGULAR,2.0,135.0,0,None,0,None,None,None,None,314,2,0,GOOD
10287672,Holsbeek,HOUSE,HOUSE,280000.0,BUY_REGULAR,2.0,,None,None,0,None,None,None,None,182,3,None,
10282035,Sint-Pieters-Leeuw,HOUSE,TOWN_HOUSE,379000.0,BUY_REGULAR,3.0,215.0,0,None,0,None,None,1,None,0,2,0,
10309446,Leuven,APARTMENT,APARTMENT,440000.0,BUY_REGULAR,2.0,121.0,0,None,0,1,20,None,None,,,None,AS_NEW
10309439,Leuven,APARTMENT,APARTMENT,475000.0,BUY_REGULAR,0.0,94.0,None,None,0,None,None,None,None,None,2,0,GOOD
10307217,Rhode-Saint-Genese,HOUSE,VILLA,1995000.0,BUY_REGULAR,4.0,344.0,1,None,0,1,35,1,750,1614,4,0,AS_NEW
10301704,Asse,APARTMENT,APARTMENT,144000.0,BUY_REGULAR,1.0,40.0,0,None,0,None,None,None,None,,2,0,AS_NEW
10284798,Halle,HOUSE,BUNGALOW,249000.0,BUY_REGULAR,2.0,94.0,0,None,0,1,None,None,None,395,2,0,TO_BE_DONE_UP
10303874,Leuven,APARTMENT,FLAT_STUDIO,120000.0,BUY_REGULAR,1.0,20.0,0,None,0,None,None,None,None,,,0,GOOD
10290431,Sint-Pieters-Leeuw,HOUSE,HOUSE,279000.0,BUY_REGULAR,3.0,192.0,None,None,0,None,None,None,None,258,3,None,
10299012,Scherpenheuvel-Zichem,HOUSE,HOUSE,495000.0,BUY_REGULAR,4.0,254.0,0,None,0,1,30,1,70,228,2,0,AS_NEW
