Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10168483,Tubize,APARTMENT,APARTMENT,250000.0,BUY_REGULAR,2.0,92.0,0,None,0,1,15,1,None,None,,None,
10309884,Namur,HOUSE,HOUSE,380000.0,BUY_REGULAR,3.0,103.0,0,None,0,1,20,1,None,882,4,None,
10307593,SUARLEE,HOUSE,EXCEPTIONAL_PROPERTY,700000.0,BUY_REGULAR,8.0,650.0,0,None,0,1,150,1,1595,1595,4,None,
10305252,Fosses-la-Ville,HOUSE,HOUSE,165000.0,BUY_REGULAR,3.0,162.0,0,None,0,1,27,None,None,0,3,None,TO_RENOVATE
10301332,SEILLES,HOUSE,HOUSE,275000.0,BUY_REGULAR,4.0,175.0,0,None,0,None,None,1,None,229,3,None,
10298202,WILLERZIE,HOUSE,CHALET,50000.0,BUY_REGULAR,1.0,25.0,0,None,0,None,None,None,None,2815,None,None,None
10295646,Erpent,APARTMENT,APARTMENT,290000.0,BUY_REGULAR,2.0,83.0,None,None,0,1,22,None,None,None,,None,
10293092,VIERVES-SUR-VIROIN,HOUSE,HOUSE,49000.0,BUY_REGULAR,2.0,88.0,0,None,0,None,None,None,None,140,4,None,TO_RENOVATE
10289977,Lesve,HOUSE,VILLA,475000.0,BUY_REGULAR,6.0,370.0,0,None,0,1,30,1,11690,11690,4,0,GOOD
10289933,Andenne,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10019584,TAMINES,HOUSE,HOUSE,140000.0,BUY_REGULAR,3.0,122.0,0,None,0,1,20,1,95,105,,None,TO_RENOVATE
10280374,Namur,APARTMENT,GROUND_FLOOR,190000.0,BUY_REGULAR,2.0,101.0,1,None,0,1,35,None,None,None,,None,AS_NEW
10135147,Waterloo,HOUSE,HOUSE,599000.0,BUY_REGULAR,4.0,240.0,0,None,0,1,60,1,850,0,3,0,AS_NEW
10309882,Jambes,HOUSE,HOUSE,380000.0,BUY_REGULAR,3.0,103.0,0,None,0,1,20,1,None,882,4,None,
10307591,SUARLEE,HOUSE,COUNTRY_COTTAGE,700000.0,BUY_REGULAR,8.0,650.0,0,None,0,1,150,1,1595,1595,4,None,
10305247,Namur Saint-Servais,HOUSE,HOUSE,145000.0,BUY_REGULAR,3.0,120.0,0,None,0,1,40,1,1000,1298,3,None,TO_RENOVATE
10274686,MOIGNELÉE,HOUSE,HOUSE,225000.0,BUY_REGULAR,2.0,140.0,0,None,0,1,10,1,70,190,2,None,GOOD
10298173,SAINT-SERVAIS,HOUSE,MIXED_USE_BUILDING,535000.0,BUY_REGULAR,2.0,350.0,None,None,0,1,120,None,None,550,3,None,GOOD
10295645,Jambes,HOUSE,HOUSE,650000.0,BUY_REGULAR,4.0,390.0,None,None,0,1,90,None,None,1609,4,None,
10293040,Florennes,HOUSE,HOUSE,55000.0,PUBLIC_SALE,4.0,,None,None,0,None,None,None,None,0,None,None,None
10287344,Gembloux,APARTMENT,APARTMENT,295000.0,BUY_REGULAR,3.0,95.0,0,None,0,None,None,1,43,None,3,None,
10289944,Heure,HOUSE,HOUSE,75000.0,PUBLIC_SALE,3.0,,None,None,0,None,None,None,None,514,4,None,
10283395,AUVELAIS,HOUSE,HOUSE,175000.0,BUY_REGULAR,3.0,104.0,None,None,0,None,None,None,None,345,3,None,
10065240,Ciney,HOUSE,HOUSE,260000.0,BUY_REGULAR,3.0,180.0,None,None,0,None,None,None,None,2022,4,None,
10082717,La Hulpe,HOUSE,HOUSE,599000.0,BUY_REGULAR,4.0,240.0,0,None,0,1,60,1,850,0,3,0,AS_NEW
10309850,Vedrin,HOUSE,HOUSE,270000.0,BUY_REGULAR,3.0,115.0,0,None,0,1,None,1,None,669,3,None,AS_NEW
10307590,SUARLEE,HOUSE,APARTMENT_BLOCK,700000.0,BUY_REGULAR,8.0,650.0,0,None,0,1,150,1,1595,1595,4,None,
10305242,DAUSSOIS,HOUSE,CASTLE,950000.0,BUY_REGULAR,10.0,,0,None,0,None,None,None,None,0,None,None,None
10305177,Couvin Brûlyde-Pesche,HOUSE,CHALET,399000.0,BUY_REGULAR,2.0,126.0,None,None,0,1,80,1,2000,2600,4,None,AS_NEW
10298172,Namur,HOUSE,APARTMENT_BLOCK,535000.0,BUY_REGULAR,2.0,350.0,None,None,0,1,120,None,None,362,3,None,GOOD
10295643,Anhée,APARTMENT,APARTMENT,355000.0,BUY_REGULAR,2.0,122.0,None,None,0,None,None,None,None,,,None,
10293028,Walcourt,HOUSE,HOUSE,210000.0,BUY_REGULAR,3.0,,0,None,0,1,23,1,20,300,4,0,AS_NEW
10287343,Gembloux,APARTMENT,APARTMENT,340000.0,BUY_REGULAR,3.0,91.0,0,None,0,1,48,1,43,None,,None,
10289912,Yvoir,HOUSE,COUNTRY_COTTAGE,59000.0,BUY_REGULAR,2.0,32.0,None,None,0,1,12,1,200,200,1,1,TO_BE_DONE_UP
10155902,Havelange,HOUSE,HOUSE,185000.0,BUY_REGULAR,3.0,,0,None,0,None,None,1,4301,4301,4,None,TO_RENOVATE
10280314,Andenne,APARTMENT,APARTMENT,300000.0,BUY_REGULAR,2.0,165.0,None,None,0,1,15,None,None,None,,None,
10168010,Nivelles,HOUSE,HOUSE,375000.0,BUY_REGULAR,4.0,150.0,0,None,1,1,40,1,500,684,2,None,
