Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10247660,Grimbergen,HOUSE,HOUSE,310000.0,BUY_REGULAR,4.0,,0,None,0,1,5,None,None,0,2,0,AS_NEW
10276706,Asse Zellik,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,2.0,75.0,0,None,0,1,None,None,None,None,2,None,TO_RENOVATE
10174366,Liedekerke,HOUSE,HOUSE,335000.0,BUY_REGULAR,4.0,205.0,0,None,0,1,None,None,None,208,2,None,GOOD
10271302,Wemmel,APARTMENT,PENTHOUSE,215000.0,BUY_REGULAR,1.0,37.0,0,None,0,1,22,None,None,None,2,None,
10268286,Beersel,HOUSE,VILLA,485000.0,BUY_REGULAR,4.0,175.0,0,None,0,1,25,1,300,600,4,None,GOOD
10266222,Beersel,HOUSE,HOUSE,499000.0,BUY_REGULAR,3.0,198.0,0,None,0,1,None,1,190,180,2,0,JUST_RENOVATED
10263283,Meise,HOUSE,HOUSE,525000.0,BUY_REGULAR,3.0,175.0,0,None,0,1,None,None,None,340,2,None,GOOD
10306926,Tubize,HOUSE,HOUSE,235000.0,BUY_REGULAR,3.0,135.0,0,None,0,1,None,1,1500,1591,3,None,TO_BE_DONE_UP
10306925,Braine-le-Chateau,HOUSE,HOUSE,495000.0,BUY_REGULAR,4.0,158.0,0,None,0,1,None,None,None,6200,4,None,
10300472,Tubize,APARTMENT,APARTMENT,115000.0,BUY_REGULAR,1.0,60.0,0,None,0,None,None,None,None,None,,None,GOOD
10292916,Virginal-Samme,HOUSE,HOUSE,203000.0,BUY_REGULAR,5.0,215.0,0,None,0,None,None,None,None,670,2,None,TO_RESTORE
10292895,Ramillies,HOUSE,CHALET,80000.0,BUY_REGULAR,2.0,47.0,0,None,0,1,12,1,300,409,4,0,GOOD
10279475,Vilvoorde,HOUSE,HOUSE,595000.0,BUY_REGULAR,3.0,230.0,1,None,0,1,38,None,None,0,,None,GOOD
10276703,Opwijk,APARTMENT,DUPLEX,295000.0,BUY_REGULAR,2.0,117.0,0,None,0,1,5,None,None,,2,None,GOOD
10114599,Vossem,HOUSE,VILLA,799000.0,BUY_REGULAR,5.0,250.0,1,None,1,1,15,1,1244,1244,4,0,AS_NEW
10271290,Kessel-Lo,HOUSE,HOUSE,595000.0,BUY_REGULAR,3.0,151.0,0,None,0,1,26,1,None,335,3,0,JUST_RENOVATED
10268232,Wemmel,HOUSE,VILLA,949000.0,BUY_REGULAR,3.0,255.0,1,None,0,1,42,None,None,902,,0,AS_NEW
10266221,Drogenbos,HOUSE,HOUSE,499000.0,BUY_REGULAR,3.0,198.0,0,None,0,1,None,1,190,180,2,0,JUST_RENOVATED
10263187,Huizingen,HOUSE,MIXED_USE_BUILDING,330000.0,BUY_REGULAR,3.0,271.0,0,None,0,None,None,None,None,349,4,None,
10305412,GISTOUX,APARTMENT,APARTMENT,675000.0,BUY_REGULAR,2.0,160.0,0,None,0,1,30,None,None,None,,None,
10306919,Braine-l'Alleud,HOUSE,APARTMENT_BLOCK,475000.0,BUY_REGULAR,3.0,195.0,0,None,0,1,6,1,200,290,2,0,GOOD
10300390,Tubize,HOUSE,VILLA,350000.0,BUY_REGULAR,3.0,,0,None,0,None,None,1,438,0,,None,JUST_RENOVATED
10285790,Waterloo,HOUSE,HOUSE,425000.0,BUY_REGULAR,3.0,,None,None,0,1,25,1,1,2,2,0,
10292868,Waterloo,HOUSE,VILLA,725000.0,BUY_REGULAR,3.0,180.0,0,None,0,1,30,1,660,750,4,0,AS_NEW
10279474,Grimbergen,APARTMENT,APARTMENT,595000.0,BUY_REGULAR,3.0,230.0,1,None,0,1,38,None,None,None,,None,GOOD
10232764,Wilsele,HOUSE,HOUSE,359000.0,BUY_REGULAR,3.0,146.0,0,None,0,None,None,1,None,280,,0,TO_BE_DONE_UP
10274635,Aarschot,APARTMENT,DUPLEX,245000.0,BUY_REGULAR,2.0,99.0,0,None,0,None,None,None,None,,,0,AS_NEW
10271194,Sint-Pieters-Leeuw,HOUSE,HOUSE,539000.0,BUY_REGULAR,3.0,337.0,0,None,1,None,None,1,None,998,4,0,GOOD
10268186,Tienen,APARTMENT,APARTMENT,165000.0,BUY_REGULAR,2.0,75.0,0,None,0,1,3,None,None,,2,0,GOOD
10266112,Asse,HOUSE,HOUSE,469000.0,BUY_REGULAR,3.0,213.0,None,None,0,None,None,None,None,550,3,0,GOOD
10266055,VOLLEZELE,HOUSE,HOUSE,410000.0,BUY_REGULAR,4.0,228.0,0,None,0,1,None,1,None,579,4,None,GOOD
10305411,GISTOUX,APARTMENT,APARTMENT,775000.0,BUY_REGULAR,3.0,195.0,0,None,0,1,31,None,None,None,,None,
10306813,Tubize,HOUSE,HOUSE,299000.0,BUY_REGULAR,3.0,150.0,None,None,0,1,None,None,None,775,4,None,GOOD
10300284,Limal,HOUSE,MIXED_USE_BUILDING,535000.0,BUY_REGULAR,10.0,644.0,None,None,1,None,None,1,None,1800,3,None,TO_RESTORE
10229013,Lasne,HOUSE,HOUSE,650000.0,BUY_REGULAR,5.0,460.0,0,None,0,1,50,None,None,649,3,None,
10292732,Waterloo,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10279473,Vilvoorde,APARTMENT,APARTMENT,595000.0,BUY_REGULAR,3.0,230.0,1,None,0,1,38,None,None,None,,None,GOOD
10276659,Kessel-Lo,HOUSE,BUNGALOW,310000.0,BUY_REGULAR,1.0,80.0,0,None,0,1,18,None,None,610,,0,TO_BE_DONE_UP
10274634,Heverlee,APARTMENT,DUPLEX,265000.0,BUY_REGULAR,1.0,56.0,0,None,0,None,None,None,None,,,0,AS_NEW
10054810,Galmaarden,HOUSE,MANOR_HOUSE,850000.0,BUY_REGULAR,4.0,532.0,None,None,0,None,None,1,None,4532,4,0,
10271100,Kampenhout,HOUSE,HOUSE,549000.0,BUY_REGULAR,4.0,250.0,1,None,1,1,40,1,1000,1100,3,0,AS_NEW
10263184,Huizingen,HOUSE,HOUSE,330000.0,BUY_REGULAR,3.0,271.0,0,None,0,None,None,None,None,349,4,None,
10266041,Pepingen,HOUSE,HOUSE,415000.0,BUY_REGULAR,3.0,212.0,0,None,0,1,None,None,None,1596,4,None,TO_RENOVATE
10305410,Chaumont-Gistoux,APARTMENT,APARTMENT,599000.0,BUY_REGULAR,2.0,153.0,0,None,0,1,None,1,110,None,,None,
10306808,Rebecq,HOUSE,HOUSE,264000.0,BUY_REGULAR,3.0,130.0,0,None,0,1,None,None,None,200,3,None,JUST_RENOVATED
10178830,Wavre,HOUSE,VILLA,695000.0,BUY_REGULAR,3.0,200.0,0,None,1,1,40,1,1600,2000,6,0,TO_BE_DONE_UP
10285658,Braine-l'Alleud,APARTMENT,APARTMENT,530000.0,BUY_REGULAR,2.0,109.0,1,None,0,1,45,None,None,,3,None,GOOD
10292653,Lasne,HOUSE,HOUSE,440000.0,BUY_REGULAR,2.0,140.0,0,None,0,1,None,None,None,2000,4,0,TO_BE_DONE_UP
10279443,Herent,HOUSE,HOUSE,298000.0,BUY_REGULAR,3.0,117.0,None,None,0,None,None,1,None,198,,0,TO_RENOVATE
10276611,Kortenberg,HOUSE,HOUSE,425000.0,BUY_REGULAR,3.0,156.0,None,None,0,1,None,None,None,427,4,None,GOOD
10274587,Diest,APARTMENT,APARTMENT,370000.0,BUY_REGULAR,3.0,176.0,0,None,0,1,12,None,None,,,0,
10268185,Tienen,HOUSE,HOUSE,268000.0,BUY_REGULAR,3.0,177.0,0,None,0,None,None,1,31,180,2,0,TO_RENOVATE
10271087,Dilbeek,APARTMENT,DUPLEX,389000.0,BUY_REGULAR,2.0,115.0,1,None,0,1,22,None,None,,,None,AS_NEW
10263183,Halle,APARTMENT,APARTMENT,265000.0,BUY_REGULAR,2.0,96.0,None,None,0,1,13,None,None,None,2,0,
10266040,Halle,HOUSE,HOUSE,415000.0,BUY_REGULAR,3.0,212.0,0,None,0,1,None,None,None,1596,4,None,TO_RENOVATE
10305409,GISTOUX,APARTMENT,APARTMENT,599000.0,BUY_REGULAR,2.0,153.0,0,None,0,1,None,1,110,None,,None,
10306804,Tubize,HOUSE,HOUSE,399000.0,BUY_REGULAR,4.0,202.0,None,None,0,1,None,None,None,600,3,None,
10298990,Waterloo,HOUSE,VILLA,800000.0,BUY_REGULAR,4.0,245.0,0,None,0,None,None,1,None,823,,None,GOOD
10285655,Braine-l'Alleud,HOUSE,HOUSE,340000.0,BUY_REGULAR,3.0,135.0,0,None,0,1,30,1,70,199,2,None,TO_BE_DONE_UP
10285576,Nivelles,HOUSE,TOWN_HOUSE,375000.0,BUY_REGULAR,3.0,200.0,0,None,0,1,30,None,None,261,2,0,TO_BE_DONE_UP
10285559,Nethen,HOUSE,HOUSE,775000.0,BUY_REGULAR,6.0,,0,None,0,None,None,None,None,4056,4,None,
10276580,Halle,HOUSE,HOUSE,439000.0,BUY_REGULAR,3.0,135.0,1,None,0,1,None,None,None,172,2,None,AS_NEW
10247913,Kessel-Lo,HOUSE,HOUSE,395000.0,BUY_REGULAR,3.0,150.0,0,None,0,None,None,None,None,219,,0,TO_BE_DONE_UP
10268163,TOLLEMBEEK,HOUSE,HOUSE,310000.0,BUY_REGULAR,4.0,230.0,0,None,0,None,None,1,None,1141,3,None,TO_RENOVATE
10263182,Halle,APARTMENT,APARTMENT,231000.0,BUY_REGULAR,1.0,71.0,None,None,0,1,26,None,None,None,2,0,
10266038,SINT-PIETERS-LEEUW,APARTMENT,APARTMENT,265000.0,BUY_REGULAR,2.0,86.0,0,None,0,1,None,1,30,None,2,None,GOOD
10305407,Chaumont-Gistoux,APARTMENT,APARTMENT,399000.0,BUY_REGULAR,1.0,98.0,0,None,0,1,None,1,90,None,,None,
10306802,Tubize,HOUSE,VILLA,449000.0,BUY_REGULAR,4.0,140.0,None,None,0,1,None,None,None,950,4,None,AS_NEW
10298988,Wavre,HOUSE,HOUSE,550000.0,BUY_REGULAR,5.0,210.0,0,None,0,1,None,1,None,1950,,None,TO_BE_DONE_UP
10292652,Tubize,HOUSE,APARTMENT_BLOCK,375000.0,BUY_REGULAR,4.0,180.0,0,None,0,1,None,1,244,349,2,None,GOOD
10279362,Binkom,HOUSE,HOUSE,439000.0,BUY_REGULAR,3.0,208.0,0,None,1,1,None,None,None,2950,4,None,GOOD
10279350,WALSHOUTEM,HOUSE,MIXED_USE_BUILDING,365000.0,BUY_REGULAR,3.0,152.0,0,None,0,None,None,None,None,515,4,None,GOOD
10276576,Leuven,APARTMENT,DUPLEX,775000.0,BUY_REGULAR,2.0,191.0,1,None,0,1,20,None,None,,2,0,AS_NEW
10274581,Leuven,APARTMENT,DUPLEX,245000.0,BUY_REGULAR,1.0,39.0,0,None,0,None,None,None,None,,2,0,GOOD
10268152,Halle,HOUSE,HOUSE,350000.0,BUY_REGULAR,4.0,134.0,None,None,0,1,None,None,None,230,2,0,GOOD
10270934,Beersel,HOUSE,VILLA,940000.0,BUY_REGULAR,5.0,400.0,0,None,0,1,50,1,700,1050,6,0,GOOD
10064735,Halle,HOUSE,HOUSE,349000.0,BUY_REGULAR,3.0,184.0,None,None,0,None,None,None,None,62,2,None,
10265984,Diest,APARTMENT,APARTMENT,287000.0,BUY_REGULAR,3.0,120.0,0,None,0,1,10,None,None,,2,None,GOOD
10305395,Grez-Doiceau,HOUSE,VILLA,549000.0,BUY_REGULAR,6.0,217.0,0,None,0,None,None,1,750,750,4,None,
10306796,Tubize,HOUSE,HOUSE,249000.0,BUY_REGULAR,2.0,120.0,0,None,0,1,None,None,None,0,3,None,AS_NEW
10298987,Wavre,HOUSE,HOUSE,1000000.0,BUY_REGULAR,4.0,265.0,0,None,0,1,100,1,None,1000,4,None,AS_NEW
10292627,Rebecq,APARTMENT,APARTMENT,219000.0,BUY_REGULAR,2.0,65.0,0,None,0,1,2,None,None,None,3,0,AS_NEW
10285554,Waterloo,HOUSE,VILLA,745000.0,BUY_REGULAR,5.0,374.0,1,None,1,1,None,1,None,914,4,None,TO_BE_DONE_UP
9970251,Zaventem,APARTMENT,APARTMENT,270000.0,BUY_REGULAR,2.0,80.0,0,None,0,1,5,None,None,None,4,0,GOOD
10276571,Aarschot,APARTMENT,APARTMENT,265000.0,BUY_REGULAR,2.0,80.0,1,None,0,1,None,None,None,,,None,GOOD
10274550,Opwijk,HOUSE,HOUSE,375000.0,BUY_REGULAR,3.0,144.0,1,None,0,1,None,None,None,0,2,None,AS_NEW
10274549,Opwijk,APARTMENT,GROUND_FLOOR,295000.0,BUY_REGULAR,2.0,100.0,0,None,0,1,None,None,None,None,2,None,AS_NEW
10270827,Vilvoorde,HOUSE,TOWN_HOUSE,415000.0,BUY_REGULAR,3.0,130.0,0,None,1,1,6,1,68,0,2,None,
10126284,Lasne,HOUSE,EXCEPTIONAL_PROPERTY,2950000.0,BUY_REGULAR,5.0,500.0,1,None,0,1,None,None,None,11000,4,1,AS_NEW
10265983,Diest,APARTMENT,APARTMENT,325000.0,BUY_REGULAR,2.0,120.0,None,None,0,1,20,None,None,,3,None,GOOD
10305392,HAMME-MILLE,HOUSE,HOUSE,390000.0,BUY_REGULAR,3.0,152.0,0,None,0,None,None,1,360,360,3,None,
10306764,Genappe,HOUSE,VILLA,685000.0,BUY_REGULAR,3.0,220.0,0,None,0,1,30,1,1190,1779,4,0,JUST_RENOVATED
10298984,Wavre,HOUSE,APARTMENT_BLOCK,500000.0,BUY_REGULAR,0.0,157.0,0,None,0,1,6,None,None,0,2,None,TO_BE_DONE_UP
10298536,Wavre,HOUSE,HOUSE,295000.0,BUY_REGULAR,2.0,149.0,0,None,0,1,None,1,None,420,3,None,TO_RENOVATE
10285514,Nivelles,APARTMENT,APARTMENT,195000.0,BUY_REGULAR,2.0,100.0,0,None,0,1,9,None,None,None,2,0,
10279283,Aarschot,HOUSE,TOWN_HOUSE,349000.0,BUY_REGULAR,3.0,287.0,1,None,0,1,None,1,None,137,,None,
10276527,Keerbergen,HOUSE,HOUSE,889000.0,BUY_REGULAR,4.0,340.0,0,None,0,1,None,None,None,2700,4,None,GOOD
10268151,Halle,HOUSE,HOUSE,350000.0,BUY_REGULAR,4.0,134.0,None,None,0,1,None,None,None,230,2,0,GOOD
10274548,Opwijk,HOUSE,HOUSE,435000.0,BUY_REGULAR,4.0,190.0,None,None,0,1,None,None,None,303,3,None,AS_NEW
10270821,Vilvoorde,HOUSE,HOUSE,375000.0,BUY_REGULAR,3.0,128.0,0,None,0,1,25,1,205,260,3,0,JUST_RENOVATED
10311815,Nivelles,HOUSE,MIXED_USE_BUILDING,425000.0,BUY_REGULAR,4.0,220.0,None,None,0,1,5,None,None,0,2,None,
10265932,Vilvoorde,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10305388,Grez-Doiceau,HOUSE,HOUSE,1560000.0,BUY_REGULAR,6.0,650.0,0,None,0,None,None,1,None,11185,None,None,None
10306759,Lasne,HOUSE,EXCEPTIONAL_PROPERTY,1395000.0,BUY_REGULAR,5.0,370.0,0,None,0,1,100,1,4400,4000,4,1,JUST_RENOVATED
10292581,Genappe,HOUSE,HOUSE,285000.0,BUY_REGULAR,2.0,160.0,0,None,0,1,20,1,247,247,3,0,AS_NEW
10298193,Rixensart,HOUSE,HOUSE,898000.0,BUY_REGULAR,4.0,278.0,None,None,0,None,None,None,None,1776,,0,
10285454,Braine-l'Alleud,APARTMENT,GROUND_FLOOR,450000.0,BUY_REGULAR,3.0,125.0,1,None,0,1,5,1,370,,3,None,GOOD
10279056,Haacht,HOUSE,HOUSE,445000.0,BUY_REGULAR,3.0,166.0,None,None,0,1,None,None,None,400,3,None,
10276513,Overijse,HOUSE,VILLA,1375000.0,BUY_REGULAR,5.0,346.0,0,None,0,1,None,None,None,3300,4,1,TO_BE_DONE_UP
10268150,Halle,HOUSE,VILLA,975000.0,BUY_REGULAR,4.0,338.0,None,None,0,1,None,None,None,12860,4,0,GOOD
10274369,Lennik,APARTMENT,APARTMENT,420000.0,BUY_REGULAR,3.0,,0,None,0,1,None,None,None,,,0,AS_NEW
10274368,Lennik,APARTMENT,APARTMENT,325000.0,BUY_REGULAR,2.0,,0,None,0,1,None,None,None,,,0,AS_NEW
10311813,Nivelles,APARTMENT,APARTMENT,425000.0,BUY_REGULAR,4.0,220.0,None,None,0,1,5,None,None,None,2,None,
10265870,Halle,HOUSE,HOUSE,230000.0,BUY_REGULAR,2.0,151.0,0,None,0,None,None,None,None,0,3,0,GOOD
10265812,Merchtem,APARTMENT,LOFT,475000.0,BUY_REGULAR,2.0,150.0,0,None,0,None,None,None,None,,2,0,AS_NEW
10306758,Braine-l'Alleud,APARTMENT,APARTMENT,300000.0,BUY_REGULAR,2.0,90.0,0,None,0,1,6,None,None,None,3,0,AS_NEW
10292580,Court-St.-Etienne,HOUSE,HOUSE,285000.0,BUY_REGULAR,2.0,160.0,0,None,0,1,20,1,247,247,3,0,AS_NEW
10298192,Rixensart,HOUSE,HOUSE,888000.0,BUY_REGULAR,4.0,277.0,None,None,0,None,None,None,None,1500,,0,
10285443,Waterloo,APARTMENT,APARTMENT,450000.0,BUY_REGULAR,3.0,125.0,1,None,0,1,5,1,370,,3,None,GOOD
9996866,Tervuren,HOUSE,VILLA,759000.0,BUY_REGULAR,4.0,210.0,0,None,0,1,46,1,250,580,4,None,
10276466,Wemmel,HOUSE,HOUSE,400000.0,BUY_REGULAR,4.0,150.0,0,None,0,1,None,None,None,256,2,None,GOOD
10268042,Zaventem,HOUSE,HOUSE,450000.0,BUY_REGULAR,4.0,175.0,None,None,0,None,None,None,None,100,3,0,TO_BE_DONE_UP
10270803,Begijnendijk,HOUSE,HOUSE,365000.0,BUY_REGULAR,3.0,160.0,None,None,0,1,None,None,None,410,4,0,GOOD
10274318,Overijse,HOUSE,HOUSE,795000.0,BUY_REGULAR,6.0,374.0,0,None,0,1,20,1,1450,1450,4,None,TO_BE_DONE_UP
10311726,Limelette,HOUSE,HOUSE,850000.0,BUY_REGULAR,3.0,175.0,1,None,1,1,140,1,None,1722,4,None,JUST_RENOVATED
10305386,Grez-Doiceau,HOUSE,HOUSE,599000.0,BUY_REGULAR,5.0,263.0,0,None,0,None,None,1,1244,0,3,None,
10265766,Dworp,HOUSE,HOUSE,145000.0,PUBLIC_SALE,3.0,,0,None,0,None,None,None,None,184,,None,TO_RENOVATE
10306757,Lillois-Witterzée,APARTMENT,APARTMENT,300000.0,BUY_REGULAR,2.0,90.0,0,None,0,1,6,None,None,None,3,0,AS_NEW
10292562,Wavre,HOUSE,HOUSE,1300000.0,BUY_REGULAR,6.0,500.0,None,None,0,1,None,1,7500,7500,4,1,TO_RENOVATE
10298191,Rixensart,HOUSE,HOUSE,1140000.0,BUY_REGULAR,4.0,363.0,None,None,0,None,None,None,None,2695,,0,
10298167,Jodoigne,HOUSE,HOUSE,295000.0,BUY_REGULAR,2.0,,None,None,0,None,None,None,None,0,3,None,
10298132,Rebecq,HOUSE,HOUSE,275000.0,BUY_REGULAR,3.0,140.0,1,None,0,1,67,1,302,302,3,0,GOOD
10276439,Vilvoorde,HOUSE,HOUSE,365000.0,BUY_REGULAR,3.0,156.0,0,None,0,1,8,1,100,282,3,0,TO_RENOVATE
10268040,Vilvoorde,APARTMENT,APARTMENT,287443.0,BUY_REGULAR,2.0,98.0,None,None,0,1,16,None,None,None,2,0,
10270745,Liedekerke,HOUSE,MANOR_HOUSE,1050000.0,BUY_REGULAR,5.0,400.0,0,None,0,None,None,1,3000,0,4,None,GOOD
10274286,Zoutleeuw,HOUSE,HOUSE,225000.0,BUY_REGULAR,2.0,140.0,0,None,0,None,None,1,None,1000,3,None,TO_BE_DONE_UP
10311706,Tubize,HOUSE,HOUSE,285000.0,BUY_REGULAR,2.0,155.0,None,None,0,1,19,1,124,305,4,None,
10305385,MÉLIN,HOUSE,HOUSE,599000.0,BUY_REGULAR,5.0,263.0,0,None,0,None,None,1,1244,0,3,None,
10265764,Halle,HOUSE,HOUSE,130000.0,PUBLIC_SALE,1.0,,None,None,0,None,None,None,None,391,,None,TO_RENOVATE
10306626,Wavre,HOUSE,HOUSE,740000.0,BUY_REGULAR,5.0,360.0,0,None,0,1,None,1,1300,2172,4,1,TO_BE_DONE_UP
10292509,Incourt,HOUSE,HOUSE,697000.0,BUY_REGULAR,4.0,300.0,0,None,0,1,None,None,None,885,4,0,
10285431,Waterloo,HOUSE,VILLA,799000.0,BUY_REGULAR,6.0,280.0,0,None,0,1,36,1,100,500,4,0,JUST_RENOVATED
9996864,Tervuren,HOUSE,HOUSE,759000.0,BUY_REGULAR,4.0,210.0,0,None,0,1,46,1,250,580,4,None,
10298062,Ramillies,HOUSE,HOUSE,195000.0,BUY_REGULAR,3.0,147.0,0,None,0,None,None,1,1100,1100,,0,TO_RENOVATE
10297975,Lasne Maransart,HOUSE,HOUSE,1395000.0,BUY_REGULAR,5.0,370.0,1,None,0,None,None,1,4400,4000,4,1,JUST_RENOVATED
10268020,Vilvoorde,APARTMENT,APARTMENT,274954.0,BUY_REGULAR,2.0,104.0,None,None,0,1,8,None,None,None,2,0,
10270744,Roosdaal,HOUSE,VILLA,1050000.0,BUY_REGULAR,5.0,400.0,0,None,0,None,None,1,3000,0,4,None,GOOD
10274171,Halle,APARTMENT,APARTMENT,299000.0,BUY_REGULAR,2.0,105.0,0,None,0,1,9,None,None,None,2,0,
10311691,Jodoigne,HOUSE,APARTMENT_BLOCK,195000.0,BUY_REGULAR,2.0,79.0,0,None,0,None,None,None,None,73,,None,
10305384,BIEZ,HOUSE,VILLA,695000.0,BUY_REGULAR,3.0,247.0,0,None,0,None,None,1,None,1120,,None,
10265741,Londerzeel,HOUSE,HOUSE,210000.0,BUY_REGULAR,2.0,140.0,0,None,0,1,20,1,700,814,3,0,TO_RENOVATE
10306357,Limal,HOUSE,VILLA,325000.0,BUY_REGULAR,2.0,106.0,1,None,0,None,None,1,None,960,,0,
10291543,Limelette,HOUSE,HOUSE,340000.0,BUY_REGULAR,4.0,,0,None,0,1,12,1,350,475,3,0,GOOD
10285420,COURT-SAINT-ÉTIENNE,HOUSE,HOUSE,415000.0,BUY_REGULAR,5.0,235.0,1,None,0,1,None,1,None,843,4,None,
10278969,Alsemberg,APARTMENT,SERVICE_FLAT,75000.0,BUY_REGULAR,1.0,41.0,1,None,0,1,3,None,None,,,None,AS_NEW
10276438,Dilbeek,APARTMENT,GROUND_FLOOR,261500.0,BUY_REGULAR,1.0,85.0,0,None,0,1,16,None,None,None,3,None,AS_NEW
10276437,Wezembeek-Oppem,HOUSE,HOUSE,750000.0,BUY_REGULAR,4.0,155.0,1,None,0,1,9,1,160,464,4,0,TO_RENOVATE
10268015,Vilvoorde,APARTMENT,APARTMENT,281812.0,BUY_REGULAR,2.0,104.0,None,None,0,1,8,None,None,None,2,0,
10270743,Liedekerke,HOUSE,VILLA,1050000.0,BUY_REGULAR,5.0,400.0,0,None,0,None,None,1,3000,0,4,None,GOOD
10270667,SINT-JOZEF,HOUSE,HOUSE,439000.0,BUY_REGULAR,3.0,125.0,0,None,0,1,None,1,None,0,3,None,GOOD
10141801,Wavre,HOUSE,APARTMENT_BLOCK,750000.0,BUY_REGULAR,4.0,171.0,0,None,0,None,None,None,None,171,2,0,TO_BE_DONE_UP
10305383,NODUWEZ,HOUSE,HOUSE,395000.0,BUY_REGULAR,3.0,180.0,1,None,0,1,32,1,1340,1340,4,None,
10265699,Zaventem,HOUSE,HOUSE,445000.0,BUY_REGULAR,4.0,125.0,0,None,0,1,60,1,160,235,2,0,AS_NEW
10306223,Braine-l'Alleud,HOUSE,TOWN_HOUSE,350000.0,BUY_REGULAR,4.0,131.0,0,None,0,None,None,1,163,163,3,0,GOOD
